osm_id,highway,name,name:de,name:it,short_name
239981370,pedestrian,Via delle Orne,,,
239981375,pedestrian,Galleria Tirrena,,,
239992297,pedestrian,Passagio Giovanni Peterlongo,,,
239994668,residential,Via Santa Maria Maddalena,,,
240092038,secondary,Piazza Raffaello Sanzio,,,
240092039,tertiary,Via Torre Verde,,,
240092040,secondary,Piazza Raffaello Sanzio,,,
240092041,secondary,Via Francesco Petrarca,,,
240108147,secondary,Via dei Ventuno,,,
240607362,secondary,Piazza Raffaello Sanzio,,,
240870162,track,Strada forestale Sotosass,,,
243704958,residential,Via del Maso Smalz,,,
245017809,tertiary,Strada di Montevaccino,,,
245017816,unclassified,Via ai Camilastri,,,
245017918,unclassified,Via di Nicodemo,,,
245017919,unclassified,Piazza dei Predaroi,,,
245017920,unclassified,Via di Zél,,,
247909068,residential,Via Alla Madonnina,,,
248208931,path,Strada di Còrno - Vanéze,,,
248369469,residential,Via Giuseppe Giusti,,,
248901649,unclassified,Località di Centa,,,
250014707,track,Via Giovanni Battista Fattori,,,
250027699,unclassified,Via ai Bolleri,,,
250027700,service,Via ai Bolleri,,,
250027701,service,Via ai Bolleri,,,
250533486,tertiary,Via Borino,,,
250533487,tertiary,Via Borino,,,
250533488,unclassified,Via Borino,,,
251411891,unclassified,Vicolo al nuoto,,,
251688534,path,Strada degli orti,,,
253246200,footway,Passaggio Ezio Clementel,,,
253246201,tertiary,Via Roberto da Sanseverino,,,
253246202,tertiary,Via Roberto da Sanseverino,,,
254960112,unclassified,Via Don Narciso Sordo,,,
255548278,service,via dei Credaci,,,
255550580,residential,via alla Lasta,,,
259273089,track,Sentiero ai tralicci La grotta,,,
260532241,secondary,Via Francesco Barbacovi,,,
260532242,secondary,Via Francesco Barbacovi,,,
260532243,secondary,Via Giuseppe Grazioli,,,
260941532,unclassified,Via Giovanni Falcone,,,
261837501,footway,Vicolo del Macello Vecchio,,,
263287087,unclassified,Via di Costa San Nicolò,,,
263287088,unclassified,Via di Costa San Nicolò,,,
265023089,trunk,Tangenziale Sud,,,
265023090,trunk,Tangenziale Sud,,,
265023091,trunk,Tangenziale Sud,,,
265023092,trunk,Tangenziale Sud,,,
272906887,service,Lungadige San Nicolò,,,
276295064,trunk,Tangenziale Ovest,,,
276295070,trunk,Tangenziale Ovest,,,
276295085,trunk,Tangenziale Ovest,,,
276295088,trunk,Tangenziale Ovest,,,
276295091,trunk,Tangenziale Ovest,,,
276295094,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295095,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295096,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295097,trunk,Tangenziale Ovest,,,
276295099,trunk,Tangenziale Ovest,,,
276295100,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295101,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295102,trunk,Tangenziale Ovest,,,
276295104,trunk,Tangenziale Ovest,,,
276295106,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295109,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295110,trunk,Tangenziale Ovest,,,
276295115,motorway,Autostrada del Brennero,Brennerautobahn,Autostrada del Brennero,
276295120,secondary,Via del Ponte,,,
276295121,trunk,Tangenziale Ovest,,,
276295122,trunk,Tangenziale Ovest,,,
281770087,service,Via al Maso Visintainer,,,
281770088,service,Via al Maso Visintainer,,,
283010968,tertiary,Via Torre Vanga,,,
291944934,unclassified,Via alla Cros,,,
292088660,unclassified,Piazza Monsignor Giuseppe Placido Nicolini,,,Piazza Nicolini
292088662,tertiary,Via Valnigra,,,
292088665,unclassified,Via Znojmo,,,
292214784,path,Pista Ciclabile Valle dell'Adige,Etschtalradweg,Pista Ciclabile Valle dell'Adige,
292214785,tertiary,Ponte di San Lorenzo,,,
292315330,track,Strada per Maranza,,,
292470388,unclassified,Via di Campotrentino,,,
292470389,unclassified,Via di Campotrentino,,,
293233399,trunk,Strada Statale 47 della Valsugana,,,
293396881,secondary,Via Asiago,,,
293396882,tertiary,Via Gocciadoro,,,
293845168,service,Località Negrano,,,
294033592,unclassified,Via della Canova,,,
295075568,residential,Via del Lavaron,,,
295075571,track,Via alla Lovara,,,
295075583,residential,Piazzetta del Mont,,,
295075589,track,Via per Bedol,,,
295077251,unclassified,Via Gabbiolo,,,
295077252,unclassified,Via Gabbiolo,,,
295396001,residential,Via Calepina,,,
295396002,unclassified,Via San Giovanni Bosco,,,
299628307,unclassified,Via Eduino Fellin,,,
299628310,residential,Via Eduino Fellin,,,
